Alcohol,Malic_Acid,Ash,Ash_Alcanity,Magnesium
12.77,3.43,1.98,16.0,80
12.0,3.43,2.0,19.0,87
11.45,2.4,2.42,20.0,96
11.56,2.05,3.23,28.5,119
12.42,4.43,2.73,26.5,102
13.05,5.8,2.13,21.5,86
11.87,4.31,2.39,21.0,82
12.07,2.16,2.17,21.0,85
12.43,1.53,2.29,21.5,86
11.79,2.13,2.78,28.5,92
12.37,1.63,2.3,24.5,88
12.04,4.3,2.38,22.0,80
12.86,1.35,2.32,18.0,122
12.88,2.99,2.4,20.0,104
12.81,2.31,2.4,24.0,98
12.7,3.55,2.36,21.5,106
12.51,1.24,2.25,17.5,85
12.6,2.46,2.2,18.5,94
12.25,4.72,2.54,21.0,89
12.53,5.51,2.64,25.0,96
13.49,3.59,2.19,19.5,88
12.84,2.96,2.61,24.0,101
12.93,2.81,2.7,21.0,96
13.36,2.56,2.35,20.0,89
13.52,3.17,2.72,23.5,97
13.62,4.95,2.35,20.0,92
12.25,3.88,2.2,18.5,112
13.16,3.57,2.15,21.0,102
13.88,5.04,2.23,20.0,80
12.87,4.61,2.48,21.5,86
13.32,3.24,2.38,21.5,92
13.08,3.9,2.36,21.5,113
13.5,3.12,2.62,24.0,123
12.79,2.67,2.48,22.0,112
13.11,1.9,2.75,25.5,116
13.23,3.3,2.28,18.5,98
12.58,1.29,2.1,20.0,103
13.17,5.19,2.32,22.0,93
13.84,4.12,2.38,19.5,89
12.45,3.03,2.64,27.0,97
14.34,1.68,2.7,25.0,98
13.48,1.67,2.64,22.5,89
12.36,3.83,2.38,21.0,88
13.69,3.26,2.54,20.0,107
12.85,3.27,2.58,22.0,106
12.96,3.45,2.35,18.5,106
13.78,2.76,2.3,22.0,90
13.73,4.36,2.26,22.5,88
13.45,3.7,2.6,23.0,111
12.82,3.37,2.3,19.5,88
13.58,2.58,2.69,24.5,105
13.4,4.6,2.86,25.0,112
12.2,3.03,2.32,19.0,96
12.77,2.39,2.28,19.5,86
14.16,2.51,2.48,20.0,91
13.71,5.65,2.45,20.5,95
13.4,3.91,2.48,23.0,102
13.27,4.28,2.26,20.0,120
13.17,2.59,2.37,20.0,120
14.13,4.1,2.74,24.5,96
